Chapters requiring attention (|diff| >= 2):
============================================================

Volume 1:
  Ch            1: PDF=116 Ext= 82 Diff=  34 [UNDER]
  Ch     430(133): PDF= 18 Ext= 20 Diff=  -2 [OVER]
  Ch     445(148): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     448(151): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     452(155): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch     453(156): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     455(158): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch     470(173): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     472(175): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch     482(185): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch     487(190): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch     496(199): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     497(200): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch     509(212): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch     516(219): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     558(261): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     578(281): PDF=  5 Ext=  7 Diff=  -2 [OVER]

Volume 4:
  Ch      657(61): PDF=  1 Ext=  4 Diff=  -3 [OVER]
  Ch     818(155): PDF=  0 Ext=  3 Diff=  -3 [OVER]
  Ch       597(1): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      606(10): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      611(15): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      617(21): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch      630(34): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      632(36): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      635(39): PDF=  5 Ext=  7 Diff=  -2 [OVER]
  Ch      636(40): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch       669(6): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      696(33): PDF= 13 Ext= 15 Diff=  -2 [OVER]
  Ch      697(34): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch     812(149): PDF=  7 Ext=  9 Diff=  -2 [OVER]
  Ch     817(154): PDF=  4 Ext=  6 Diff=  -2 [OVER]

Volume 5:
  Ch       979(2): PDF=  2 Ext=  5 Diff=  -3 [OVER]
  Ch     833(170): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch     843(180): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     849(186): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch       862(2): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      901(41): PDF= 32 Ext= 34 Diff=  -2 [OVER]
  Ch      903(43): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      920(60): PDF=  3 Ext=  5 Diff=  -2 [OVER]
  Ch      925(65): PDF=  0 Ext=  2 Diff=  -2 [OVER]
  Ch      938(78): PDF=  4 Ext=  6 Diff=  -2 [OVER]
  Ch      944(84): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      946(86): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch      990(13): PDF=  1 Ext=  3 Diff=  -2 [OVER]
  Ch      993(16): PDF=  1 Ext=  3 Diff=  -2 [OVER]

Volume 6:
  Ch    1118(141): PDF=  2 Ext=  5 Diff=  -3 [OVER]
  Ch     1009(32): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     1051(74): PDF=  2 Ext=  4 Diff=  -2 [OVER]
  Ch     1054(77): PDF=  0 Ext=  2 Diff=  -2 [OVER]
